sport_director_id,first_name,last_name,birthdate,team_id
1,Ron,Andelhof,1/26/1978,
2,William,Ingels,,
3,Giuseppe,Cormio,,
4,Geert,De Dobbeleer,,
5,Giovanni,Guidetti TOP 100,9/20/1972,
6,Wout,Wijsmans TOP 200,7/17/1977,
7,Fernand,Walder,4/5/1946,
8,Koen,Hoeyberghs,,
9,Laurent,Lemoine (lemoinoski given by the respectful player Andrzej Martyniuk),,t12310
10,Guy,Bierwaerts,1/16/1940,
11,Dominique,Baeyens TOP 200,2/21/1956,t12324
12,Simone,Paolini,,
13,Pascal,Delfosse,4/24/1969,
14,Honnay,Pierre,4/29/1982,
15,Alessandro,Fei TOP 100,11/29/1978,t7645
16,Davide,Tiberti,,
17,Isabelle,Cordier,,
18,Paolo,Borello,,
19,Thierry,Courtois,6/3/1967,
20,Masahiro,Okano (岡野昌弘),7/31/1944,
21,Sérgio,egrão TOP 200,10/20/1961,
22,Wadson,Lima TOP 1000,,
23,Sadatoshi,Sugawara (菅原貞敬),2/18/1939,
24,Virna,Dias TOP 100,8/31/1971,
25,Ricarda,Lima TOP 500,9/12/1970,
26,Masami,Taniguchi,9/19/1976,
27,Koji,Kojima (小島孝治) TOP 200,6/29/1930,
28,Adriana,Behar,3/14/1969,
29,Shoichi,Yanagimoto (柳本晶一),6/5/1951,
30,Katsumi,Kawano (河野克巳) TOP 500,7/28/1965,t1866
31,Sasagawa,Seiya,5/8/1985,t6524
32,Naohiro,Ikeda (中野尚弘 旧姓 池田) TOP 1000,1/17/1940,
33,Takashi,Narita,10/6/1969,
34,Osamu,Akitsu (秋津修),9/15/1952,
35,Akira,Fueki (笛木彰),,
36,Yuichi,Nakagaichi (中垣内祐一) TOP 1000,11/2/1967,t14448
37,Elói,e Oliveira,2/22/1957,t1965
38,Ricardo,Picinin,,t6735
39,Keyla,Monadjemi,,
40,Mauricio,Lima TOP 100,1/27/1968,
41,Esther,Birchler,,t3628
42,Achim,Dähler,,
43,Daniel,Bühlmann,,
44,Adrian,Rutishauser,7/6/1984,t1979
45,Christian,Berchtold,,
46,Hiroyuki,Yamaguchi (山口祐之),8/15/1972,
47,Keisuke,Imai,2/5/1980,
48,René,weifel,,
49,Sanae,Tsubakimoto,12/11/1966,
50,Dora,Gygli,,
51,Manabu,Saito (齋藤学),4/15/1975,
52,Bettina,Schmid,,
53,Kazuaki,Tanaka (田中 一彰),10/8/1998,t7690
54,Andreas,Spyrou,1/25/1994,
55,Keisuke,Kurihara,10/9/1976,t1866
56,Michalis,Laifis,,t3908
57,Kenzo,Endo (遠藤健三),,
58,Berkin,Hüseyin Kirişçi,10/3/2003,
59,Nobuchika,Kuzuwa (葛和伸元) TOP 200,1/6/1955,
60,Yutaka,Maeda (前田豊),9/25/1915,
61,Andros,Charitou,12/29/1961,t1710
62,Evžen,rob (Pavouk - Dĕdek) TOP 1000,4/19/1926,
63,Richard,Wiesner,,
64,Jana,Vollmer,5/5/1973,
65,Koichiro,Kanno (菅野幸一郎) TOP 500,8/18/1967,
66,Seok-Chul,Ryu (유석철) TOP 1000,1/1/1940,t11460
67,Michael,Beesly,,
68,Man-Bok,Park (박만복 Mambo) TOP 100,8/30/1936,
69,Frieder,Strohm,10/16/1988,
70,Jung-Chul,Lee (이정철) TOP 500,3/27/1960,
71,Sascha,Kucera,,
72,Hyun-Ju,Hwang (황현주) TOP 1000,4/20/1966,
73,Ralph,Bergmann,5/26/1970,
74,Seung-Gyu,Hwang (황승규),1/1/1949,
75,Karl,Kaden TOP 1000,,
76,Man-Gi,Song (송만기),1/1/1950,
77,Sang-Ho,Lee (이상호),1/1/1966,
78,Ki-Joo,Park (박기주),1/1/1966,
79,Volker,Braun,,t1558
80,Myeong-Seok,Hwang (황명석),1/1/1947,
81,Jana,Vollmer,5/5/1973,
82,David,Hernández Rodríguez,5/24/1994,t1449
83,Yun-Chang,Jang (장윤창),9/10/1960,
84,Rocio,Gómez,12/30/1987,t19441
85,Gyeong-Hwan,Jang (장경환),,
86,Chan-Ho,Kim (김찬호),1/1/1964,
87,Yi-Shik,Choi (최이식),1/1/1932,
88,Hugo,Sánchez Cremades,3/16/1997,
89,Francisco,Sánchez Jover (Paco Sánchez Jover),4/24/1960,t1449
90,Sebastián,ranch (Sebs),,t1932
91,Ho-Kwan,Chun (전호관) TOP 500,1/1/1943,
92,Alberto,Rodriguez Guerra,10/26/1988,
93,Yim,Lee (이 임) TOP 1000,,
94,Danny,Lopez (Danny),2/28/1973,
95,Mee-Sun,Kang,3/27/1971,
96,Manuel,Sevillano (Manolo Sevillano),7/2/1981,t1435
97,Jin-Gwan,Park (박진관) TOP 1000,1/1/1930,
98,Oscar,Fernández Celis,9/5/1993,t4935
99,In-Su,Kim (김인수),8/18/1930,
100,Hugo,Moulinier,11/17/1985,t6698
101,Matthieu,Robequain,12/15/1970,
102,Jae-Ho,Shim (심재호),10/10/1948,
103,Didier,Huc,8/23/1961,
104,Sung-On,Hwang (황승언),1/1/1945,
105,Joong-Tak,Yoo (류중탁),6/17/1960,
106,Kyung-Soo,Kim (김경수),1/1/1957,
107,Chul-Yong,Kim (김철용 金哲勇),4/27/1954,
108,Kwang-Ho,Kim (김광호),,
109,Kyung-Hwa,Yoo,12/22/1953,
110,Woo-Young,Choi (최우영),10/2/1983,
111,Cyril,Wozniak,,t2415
112,Sung-Jin,Hong (홍성진) TOP 500,11/6/1963,
113,Olivier,Bastien,,
114,Philippe,Frigout,,
115,Sotirios,Pantaleon TOP 500,6/21/1980,t1745
116,Gyu-So,Lee (이규소) TOP 1000,7/7/1941,
117,Yiannis,Yiannakis,,
118,Eleni,Memetzi,1/12/1975,
119,Vassilis,Kallimanis,10/18/1974,
120,Yang-Soo,Kim (김양수),1/1/1966,
121,Babis,Iosifidis,,
122,Achilleas,Papadimitriou,8/18/1980,t1672
123,Cheon-Sik,Choi (최천식),7/29/1965,
124,Jung-Hyun,Noh (노정현),1/1/1948,
125,Yong-Ha,Jung (정용하) TOP 1000,1/8/1962,
126,Dimosthenis,Bousounis,,t8471
127,Hae-Cheon,Hong (홍해천),1/1/1964,t17226
128,Éva,zabó,6/26/1972,
129,Jasper,De Greef,,t2696
130,Tóth,ndor,5/15/1991,
131,Quinten,Van den Hoofdakker,,
132,András,zombathy,9/24/1963,
133,Joop,Alberda TOP 1000,10/25/1951,
134,Ildikó,ncsin,6/10/1969,
135,Henriëtte,eersing TOP 200,10/11/1965,
136,Judit,Szokolikné Kalmár,9/6/1981,
137,Kim,Renkema,6/28/1987,
138,Robert,Koch,3/17/1976,
139,Jelte,Maan TOP 1000,3/19/1986,t1685
140,Virág,yári,1/10/1968,
141,Frank,Benne,,t2696
142,Mauro,Fresa,2/8/1960,
143,Aldo,Binaghi,,t7645
144,Rafał,apierała,,t6907
145,Mateusz,Zdanowski,,t1665
146,Dariusz,Stanicki TOP 1000,1/3/1965,
147,Corrado,Caula,,
148,Łukasz,ruk,5/11/1978,
149,Claudio,Bonati,6/7/1971,
150,Katarzyna,Sielicka,12/6/1981,
151,Wout,Wijsmans TOP 200,7/17/1977,
152,Radosław,nioł,,
153,Angelo,Palombo,,
154,Andrzej,Szewinski (Eddie),2/20/1970,
155,Duccio,Ripasarti,,
156,Fernando,Ferretti,,
157,Ilias,El Otmani,,
158,Bujar,Dervisaj,9/27/1965,t2365
159,Vito,Primavera,,
160,Dariusz,Syguła,9/7/1986,t1658
161,Mirko,Corsano,10/28/1973,
162,Robert,Papis,,t1998
163,Carlos,Gonçalves,,
164,José,ardim TOP 500,7/26/1962,
165,Paulo,Cunha,,
166,Filipe,Costa,,
167,Alessandro,Alippi,,
168,Luis,Moreira,,
169,Gallo,Luca,,
170,Corrado,Pilot,,
171,Riccardo,Modica,12/28/1973,
172,Ma,Moura,,
173,Claudio,Bianchi,,
174,Antonio,Tasco,,
175,Maurizia,Cacciatori,4/6/1973,
176,José,uarte,,
177,Federico,Ursic,,
178,José,arlos Alves,,
179,Giordano,Roli,,
180,João,eixe,,t1964
181,Pietro,Mazzi,8/28/1966,
182,Sudan,Keramovic,,t18902
183,Tomislav,Smuc TOP 1000,6/24/1976,t2484
184,Zoran,Kovacic,12/20/1960,
185,Ivan,Knežević,1/16/1978,
186,Daniele,Zaccaria,,
187,Goran,Vujević,2/27/1973,
188,Gabriele,Pavan,5/31/1975,
189,Nikolay,Pavlov TOP 200,5/22/1982,t1619
190,Peppe,Venuto,,
191,Dmitry,Bagrey,3/17/1978,
192,Alberto,Casadei,9/15/1984,
193,Hristo,Zlatanov TOP 200,4/21/1976,t7645
194,Alexey,Kadochkin,6/17/1981,
195,Taras,Khtey TOP 200,5/22/1982,t1363
196,Julio,Velasco TOP 100,2/9/1952,
197,Leonid,Zayko TOP 100,2/15/1948,
198,Vladimir,Patkin TOP 500,12/8/1945,
199,Valentina,Ogienko TOP 100,5/26/1965,
200,Lioubov,Sokolova TOP 100,12/4/1977,
201,Dmitriy,Ilinykh TOP 200,1/31/1987,t1363
202,Ekaterina,Orlova TOP 1000,10/21/1987,
203,Oleg,Savkin,,
204,Joy,McKenzie-Fuerbringer,3/23/1972,
205,Cassidy,Lichtman,5/25/1989,
206,Mitch,Lush,,t4495
207,Grant,Schoenlein,,
208,Lisa,Love,,
209,Kendall,Rohrer,,
210,Jessica,Williams,,
211,Jaime,Gordon,,
212,Kathleen,Brasfield,,
213,Makenzi,Murphey,,
214,Nao,Ikeda,,
215,Sheldon,Carvalho,,
216,Caleigh,Ryan,,
217,Elaine,Michaelis,,
218,Sue,Sinclair,,
219,Debby,Chin,,
220,Dogukan,Hagemoglu,,
221,çalik,eli Koçak,1/1/1981,
222,Barış,maz,3/19/1976,t2007
223,Ali,Şenocak,,t1534
224,Halil,ibrahim Akcan,,
225,Burak,Ayas,1/1/2000,
226,Orkun,Döner,,t20873
227,çağrı,ikara,,
228,Giovanni,Guidetti TOP 100,9/20/1972,
